health_sys_id,health_sys_name,health_sys_city,health_sys_state,in_onekey,in_aha,onekey_id,aha_sysid,total_mds,prim_care_mds,total_nps,total_pas,grp_cnt,grp_cnt_restricted,hosp_cnt,acutehosp_cnt,nh_cnt,nh_cnt_restricted,hhco_cnt,hhco_cnt_restricted,sys_multistate,sys_beds,sys_dsch,sys_res,deg_children,sys_incl_majteachhosp,sys_incl_vmajteachhosp,sys_teachint,sys_incl_highdpphosp,sys_highucburden,sys_incl_highuchosp,sys_anyins_product,sys_mcare_adv,sys_mcaid_mngcare,sys_healthins_mktplc,sys_ownership,hos_net_revenue,hos_total_revenue
HSI00000270,Contra Costa Health Services,Martinez,CA,1,0,18388027,,366,252,59,0,19,16,1,1,0,0,0,0,1,124,6092,38.1,0,1,0,2,1,1,1,0,0,0,0,3,594955793,809196799
HSI00000271,Conway Medical Center,Conway,SC,1,0,18387494,,169,83,45,18,31,30,1,1,0,0,0,0,1,171,7886,32.48,0,0,0,1,0,0,0,0,0,0,0,1,270969273,1075889973
HSI00000272,Conway Regional Health System,Conway,AR,1,0,18187898,,89,36,49,11,28,25,3,2,0,0,1,1,1,194,8746,16.19,0,0,0,1,0,0,0,0,0,0,0,1,252589713,1115385145
HSI00000273,Cook Childrens Health Care System,Fort Worth,TX,1,0,18192710,,485,239,176,44,95,88,2,2,0,0,2,1,1,447,10296,12.24,2,0,0,1,0,1,0,1,0,1,0,1,1612774162,3392723409
HSI00000274,Cook County Health and Hospital System,Chicago,IL,1,1,17774089,0016,922,412,63,63,35,34,2,2,0,0,0,0,1,460,16783,427.01,0,1,1,2,1,1,1,1,,1,,3,1025782612,2094729922
HSI00000275,Cookeville Regional Health System,Cookeville,TN,1,0,18405486,,84,19,66,13,14,12,1,1,0,0,1,1,1,212,12330,0,0,0,0,0,0,0,0,,,,,3,372464033,1136556606
HSI00000283,Cottage Health System,Santa Barbara,CA,1,1,17773307,0103,214,66,45,24,41,36,4,3,0,0,0,0,1,397,19259,78.53,0,0,0,1,0,1,1,0,0,0,0,1,989932089,3060430760
HSI00000286,Covenant Health,Knoxville,TN,1,1,17773793,0123,497,152,291,94,131,109,10,9,2,2,0,0,1,1162,68265,0,0,0,0,0,0,0,1,0,0,0,0,1,1398634970,4758657845
HSI00000287,Covenant Health Systems,Tewksbury,MA,1,1,17773634,5885,352,115,172,77,69,55,3,3,14,14,0,0,2,399,12047,0,0,0,0,0,1,0,1,0,0,0,0,2,666152247,2121064789
HSI00000288,Covenant Medical Center,Saginaw,MI,1,0,18184080,,506,182,109,37,69,59,1,1,1,1,2,1,1,464,21721,79.68,0,0,0,1,0,0,0,1,1,0,0,2,680859168,2414407462
HSI00000290,CoxHealth,Springfield,MO,1,1,17774090,0179,836,238,301,118,115,103,5,4,0,0,4,1,1,986,39295,29.23,0,0,0,1,0,0,0,1,1,0,1,1,1883163248,6723123245
HSI00000297,DCH Health System,Tuscaloosa,AL,1,1,17774091,1825,90,25,55,2,7,7,3,3,1,1,1,1,1,433,25120,48.51,0,0,0,1,0,0,1,0,0,0,0,3,555598670,2057553590
HSI00000298,Parkland Health and Hospital System,Dallas,TX,1,0,17773820,,313,153,317,136,50,44,1,1,0,0,0,0,1,787,47829,635.9,0,1,1,2,1,1,1,1,0,1,0,3,1054312376,8844954406
HSI00000299,Dartmouth-Hitchcock,Lebanon,NH,1,1,18158633,0090,1725,476,554,268,102,92,8,8,0,0,1,1,2,771,30288,385,0,1,1,2,0,0,1,0,0,0,0,1,2217922733,6293758043
HSI00000300,Davis Health System,Elkins,WV,1,1,17846010,0864,62,21,31,15,10,8,3,3,1,1,1,1,1,127,1737,0,0,0,0,0,0,1,1,0,0,0,0,1,137247386,292934550
HSI00000301,Day Kimball Healthcare,Putnam,CT,1,0,18288438,,60,25,21,9,20,12,1,1,0,0,1,1,1,104,3104,0,0,0,0,0,0,1,1,,,,,1,115441752,306332768
HSI00000302,Dayton Childrens,Dayton,OH,1,0,18290283,,286,114,132,21,21,12,1,1,0,0,1,1,1,181,8094,67.92,2,1,0,2,0,0,0,0,0,0,0,1,569126150,965744928
HSI00000305,Deaconess Health System,Evansville,IN,1,1,18153031,0313,596,216,319,56,97,91,8,6,0,0,1,1,3,834,41577,21.48,0,0,0,1,1,0,1,1,1,0,0,1,1575724222,4914638022
HSI00000306,Delta Health System,Greenville,MS,1,1,18361564,1092,65,27,30,2,16,14,4,3,0,0,0,0,1,282,4186,17.63,0,0,0,1,1,0,0,0,0,0,0,3,141731870,538821306
HSI00000307,Denver Health and Hospital Authority,Denver,CO,1,0,17837665,,649,251,200,186,62,53,1,1,0,0,0,0,1,396,18173,203.91,0,1,0,2,1,0,0,1,1,1,1,3,1111358106,3465500663
HSI00000318,DHR Health,Edinburg,TX,1,0,18292548,,180,52,47,17,37,31,2,2,0,0,0,0,1,399,24134,76.56,0,0,0,1,1,0,0,0,0,0,0,5,992401401,4231902907
HSI00000319,Alomere Health,Alexandria,MN,1,0,18355356,,59,26,11,20,5,5,1,1,0,0,0,0,1,99,2564,0,0,0,0,0,0,0,0,0,0,0,0,3,183301728,489908982
HSI00000320,Doylestown Health,Doylestown,PA,1,0,18358111,,198,61,61,36,38,35,1,1,1,1,0,0,1,247,13253,0,0,0,0,0,0,0,0,1,1,,0,1,317137834,1446521357
HSI00000321,Driscoll Childrens Hospital,Corpus Christi,TX,1,0,18138737,,171,68,66,5,14,13,1,1,0,0,0,0,1,215,3448,46.65,2,0,0,1,0,0,0,1,0,1,0,1,694328846,1621690993
HSI00000323,Duke University Health System,Durham,NC,1,1,17773795,0190,3437,966,778,620,313,302,3,3,0,0,2,0,1,1535,71583,830.1,0,1,1,2,0,0,0,1,1,0,0,1,4260582264,14034263876
HSI00000325,East Alabama Medical Center,Opelika,AL,1,0,18353081,,128,42,55,5,34,29,2,2,3,3,0,0,1,277,12968,21.68,0,0,0,1,0,0,0,,,,,3,419127092,1084875551
HSI00000327,East Tennessee Childrens Hospital Association,Knoxville,TN,1,0,18291032,,153,91,114,22,51,47,1,1,0,0,1,1,1,,,,2,,,,,,,,,,,1,,
HSI00000330,Northern Light Health,Brewer,ME,1,1,17773471,0555,803,301,302,209,128,118,11,10,3,3,0,0,1,637,25058,28.77,0,0,0,1,0,0,0,0,0,0,0,1,1755421283,4800883083
HSI00000335,Eisenhower Health,Rancho Mirage,CA,1,0,17829261,,504,191,66,54,54,50,1,1,0,0,0,0,1,362,22688,123.13,0,1,0,2,0,0,0,0,0,0,0,1,1036619062,5142244843
HSI00000336,El Camino Health,Mountain View,CA,1,0,18200151,,213,83,37,19,30,24,2,2,0,0,0,0,1,388,25030,0,0,0,0,0,0,0,0,,,,,3,1338129054,5641171475
HSI00000338,Solutionhealth,Manchester,NH,1,1,17773940,1042,556,183,245,124,115,96,2,2,0,0,1,1,1,353,20552,4.22,0,0,0,1,0,0,0,0,0,0,0,1,953793592,2506896239
HSI00000339,Ellis Medicine,Schenectady,NY,1,0,18261961,,177,71,52,67,28,23,2,2,1,1,0,0,1,270,11359,28.76,0,0,0,1,0,0,0,,,,,1,401432172,1474108826
HSI00000340,Emerson Hospital Health System,Concord,MA,1,0,18399560,,176,49,48,29,39,32,1,1,1,1,1,1,1,111,7115,0,0,0,0,0,0,0,0,0,0,0,0,1,336180825,904788507
HSI00000342,Emory Healthcare,Atlanta,GA,1,1,17773473,0256,3268,848,616,656,260,231,9,7,1,1,0,0,1,2250,104257,501.7,0,1,0,1,0,0,1,0,0,0,0,1,4262214506,14171779258
HSI00000345,Enloe Medical Center,Chico,CA,1,0,18200525,,185,27,47,34,27,25,1,1,0,0,1,1,1,258,17461,0,0,0,0,0,0,0,0,0,0,0,0,1,834423644,4289108540
HSI00000346,Ephraim Mcdowell Health,Danville,KY,1,1,17997795,0959,74,20,63,22,29,25,3,3,0,0,1,1,1,207,6240,0,0,0,0,0,0,0,1,,,,,1,306764361,874615023
HSI00000347,Episcopal Health Services,Garden City,NY,1,0,17773308,,112,53,12,14,7,5,1,1,0,0,0,0,1,140,8461,141.04,0,1,1,2,1,0,0,1,1,1,1,1,238874000,815414923
HSI00000349,Eskenazi Health,Indianapolis,IN,1,0,18294507,,350,151,146,22,26,25,1,1,0,0,1,1,1,314,15269,208.94,0,1,1,2,1,0,0,0,0,0,0,3,562343277,2639205040
HSI00000350,Essentia Health,Duluth,MN,1,1,17816669,0396,1166,458,550,251,117,106,18,18,7,7,1,1,3,966,35521,17.05,0,0,0,1,1,0,1,1,0,0,0,1,2416962979,5933895741
HSI00000352,Evangelical Community Hospital,Lewisburg,PA,1,0,18288840,,102,29,21,67,26,22,1,1,0,0,0,0,1,119,4971,0,0,0,0,0,0,0,0,0,0,0,0,1,223605081,944719316
HSI00000353,EvergreenHealth,Kirkland,WA,1,0,18159338,,447,137,89,60,62,59,2,2,0,0,0,0,1,330,20027,0,0,0,0,0,0,0,1,0,0,0,0,3,836249349,2383208047
HSI00000354,Excela Health,Greensburg,PA,1,1,18140764,2395,268,105,98,102,92,79,3,3,0,0,0,0,1,431,21236,17.27,0,0,0,1,0,0,0,,,,,1,511850251,1542401781
HSI00000355,Exeter Health Resources,Exeter,NH,1,0,17855393,,171,65,71,26,42,35,1,1,0,0,0,0,1,99,4926,0,0,0,0,0,0,0,0,0,0,0,0,1,295623876,962199250
HSI00000356,Fairfield Medical Center,Lancaster,OH,1,0,18287567,,127,45,46,19,43,38,1,1,0,0,0,0,1,185,8727,23.98,0,0,0,1,0,0,0,0,0,0,0,1,315876820,1106351398
HSI00000357,Fairview Health Services,Minneapolis,MN,1,1,18956745,1325,3184,1108,716,434,239,212,13,11,4,4,2,0,2,1636,84885,406.12,1,1,0,1,1,0,0,0,0,0,0,2,4233315777,14137527900
HSI00000358,Faith Regional Health Services,Norfolk,NE,1,1,18148534,0814,210,20,51,24,35,34,4,4,1,1,0,0,1,173,5731,0,0,0,0,0,0,0,0,0,0,0,0,1,220090975,557024374
HSI00000360,Boys Town National Research Hospital,Boys Town,NE,1,0,18157592,,97,41,27,7,18,17,1,1,0,0,0,0,1,52,1185,0,2,0,0,0,0,0,0,,,,,1,173147816,337223613
HSI00000362,Finger Lakes Regional Health System,Geneva,NY,1,1,17999476,0397,76,29,64,17,30,28,2,2,4,2,0,0,1,142,2700,0,0,0,0,0,0,0,0,0,0,0,0,1,145485873,384043400
HSI00000363,Firelands Regional Health System,Sandusky,OH,1,0,17846991,,99,38,49,2,42,33,1,1,0,0,1,1,1,149,8255,14.64,0,0,0,1,0,0,0,0,,,,1,244998572,689429163
HSI00000365,FirstHealth of the Carolinas,Pinehurst,NC,1,1,17846593,0243,227,63,94,113,66,57,3,3,0,0,2,2,1,415,21202,0,0,0,0,0,0,0,1,,,,,1,926850008,3639839419
HSI00000367,Fisher Titus Medical Center,Norwalk,OH,1,0,18154719,,58,28,36,16,21,18,1,1,1,1,1,1,1,78,3106,0,0,0,0,0,0,0,0,0,0,0,0,1,155093229,378045333
HSI00000368,Florida Health Sciences Center,Tampa,FL,1,0,17773667,,528,101,366,80,51,50,2,1,0,0,0,0,1,1017,59578,315.17,0,1,0,2,1,1,0,0,0,0,0,1,1951882828,11835858817
HSI00000371,Forrest Health,Hattiesburg,MS,1,0,17773797,,156,60,122,11,30,29,8,8,3,2,4,1,1,673,23981,18.12,0,0,0,1,0,0,1,,,,,3,644146452,2223214224
HSI00000375,Franciscan Health,Mishawaka,IN,1,1,17774115,5345,1204,398,457,176,217,203,14,13,0,0,6,2,2,1366,63590,130.29,0,1,1,1,0,0,1,0,0,0,0,2,2889858559,12447217287
HSI00000376,Franciscan Missionaries of Our Lady Health System,Baton Rouge,LA,1,1,17773637,1475,1138,447,538,167,263,244,11,9,2,2,0,0,2,1940,80435,200.72,1,1,0,1,1,0,1,1,0,0,1,2,2649299658,8995478273
HSI00000380,Frederick Regional Health System,Frederick,MD,1,0,18294612,,180,61,88,58,29,24,1,1,0,0,1,0,1,279,14293,0,0,0,0,0,0,0,0,0,0,0,0,1,388662670,477847500
HSI00000381,Freeman Health System,Joplin,MO,1,1,17818069,0271,282,82,107,13,66,58,2,2,0,0,1,1,1,384,14908,39.95,0,0,0,1,0,0,0,0,0,0,0,1,620461020,3019690412
HSI00000382,Freeport Health Network,Freeport,IL,1,0,17999478,,71,26,42,2,19,19,1,1,0,0,0,0,1,100,3183,0,0,0,0,0,0,1,0,0,0,0,0,1,154896317,648520046
HSI00000386,Froedtert and the Medical College of Wisconsin,Milwaukee,WI,1,1,18197683,0924,2406,680,629,414,108,100,6,6,0,0,2,1,1,1061,50550,406.52,0,1,0,2,0,0,1,1,1,1,1,1,3172999817,9363820195
HSI00000388,Geisinger,Danville,PA,1,1,17816853,5570,2057,703,399,697,198,183,9,9,0,0,4,1,1,1292,78419,571.19,0,1,1,2,0,0,1,1,1,1,1,1,3221443265,23012071390
HSI00000391,Genesis Healthcare System,Zanesville,OH,1,0,17773639,,215,64,147,36,70,61,1,1,7,7,2,1,1,277,13826,0,0,0,0,0,0,0,0,0,0,0,0,2,564870224,1832624336
HSI00000394,Gerald Champion Regional Medical Center,Alamogordo,NM,1,0,18317455,,54,16,47,9,22,19,1,1,0,0,0,0,1,66,3164,5.07,0,0,0,1,0,1,0,0,0,0,0,1,245946571,1340915213
HSI00000401,Glens Falls Hospital,Glens Falls,NY,1,0,18156853,,99,22,33,42,22,20,1,1,0,0,0,0,1,391,10963,0,0,0,0,0,0,1,0,0,0,0,0,1,363748525,1093318945
HSI00000402,Golden Valley Memorial Healthcare,Clinton,MO,1,0,18178737,,54,26,25,6,5,5,1,1,0,0,2,1,1,42,1988,0,0,0,0,0,0,0,0,0,0,0,0,3,139797846,414219879
HSI00000405,Good Samaritan,Vincennes,IN,1,0,18381345,,145,44,74,14,23,20,1,1,0,0,0,0,1,99,4032,39.57,0,1,0,2,0,0,0,0,,,,3,244929057,720645468
HSI00000412,Grady Health System,Atlanta,GA,1,0,18956746,,357,117,136,118,12,12,1,1,1,1,0,0,1,707,33511,474.03,0,1,1,2,1,1,1,0,0,0,0,3,1417851221,8661429337
HSI00000415,Grand View Hospital,Sellersville,PA,1,0,18177562,,129,33,32,44,37,31,1,1,0,0,1,1,1,180,7149,0,0,0,0,0,0,0,0,0,0,0,0,1,236302074,773034855
HSI00000416,Grande Ronde Hospital and Clinics,La Grande,OR,1,0,18387510,,50,20,31,2,12,12,1,1,0,0,0,0,1,25,1557,0,0,0,0,0,0,0,0,1,1,1,0,1,134753078,223551169
HSI00000421,Great River Health Systems,West Burlington,IA,1,0,17845152,,154,57,51,27,33,32,1,1,1,1,1,1,1,174,5220,0,0,0,0,0,0,0,0,1,,,,1,302076366,849712781
HSI00000422,GBMC Healthcare,Baltimore,MD,1,0,18291703,,559,312,126,70,54,51,1,1,1,1,0,0,1,265,13308,56.66,0,0,0,1,0,0,0,0,0,0,0,1,420265043,500935907
HSI00000423,Garnet Health,Middletown,NY,1,1,18402576,0144,213,57,60,55,27,24,3,3,0,0,0,0,1,420,21755,94.14,0,1,0,1,0,0,1,0,0,0,0,1,653970977,2774233673
HSI00000428,Gundersen Health System,La Crosse,WI,1,0,17774093,,730,270,263,212,80,75,8,8,5,4,1,1,3,399,15951,80.47,0,1,0,1,0,1,1,1,1,0,1,1,173638484,308283752
HSI00000430,Guthrie Healthcare System,Sayre,PA,1,1,17844593,0675,509,160,189,96,59,52,5,5,2,2,2,1,2,426,21454,124.42,0,1,0,2,0,0,0,0,0,0,0,1,789070697,3141703472
HSI00000439,Hackensack Meridian Health,Edison,NJ,1,1,17774094,1003,2152,634,642,303,318,300,13,10,11,11,6,3,1,3075,151729,692.52,0,1,0,1,1,0,1,1,1,0,1,1,6382999921,24798558522
HSI00000441,Halifax Health,Daytona Beach,FL,1,0,17773942,,253,117,115,28,36,33,2,2,0,0,0,0,1,576,28450,24.39,0,0,0,1,0,1,1,0,0,0,0,3,676893660,3090867546
HSI00000444,Hamilton Health Care System,Dalton,GA,1,0,17996680,,147,55,102,20,25,23,1,1,4,4,1,1,1,239,7851,46.01,0,0,0,1,0,1,0,1,,,1,2,373972455,1625292109
HSI00000445,Hannibal Regional Healthcare System,Hannibal,MO,1,0,17991324,,116,41,59,7,21,19,1,1,0,0,1,1,1,86,4833,0,0,0,0,0,0,0,0,0,0,0,0,1,245128764,706346471
HSI00000451,Harris Health System,Bellaire,TX,1,0,18956747,,495,254,144,108,30,28,1,1,1,1,0,0,1,595,30715,643.96,0,1,1,2,1,1,1,1,1,1,1,3,753634922,3019838336
HSI00000452,Hartford Healthcare,Hartford,CT,1,1,17773792,0541,1704,477,755,792,355,321,10,8,3,3,12,4,1,1674,92334,373.04,0,1,0,1,0,0,1,1,1,0,0,1,4099999738,12915159150
HSI00000454,Hawaii Health Systems Corporation,Honolulu,HI,1,1,17815868,3555,328,123,37,25,18,16,11,10,8,8,0,0,1,385,11659,15.95,0,0,0,1,0,0,1,0,0,0,0,3,545382799,1317846289
HSI00000455,Hawaii Pacific Health,Honolulu,HI,1,1,17829267,0266,832,284,107,46,67,65,4,4,0,0,0,0,1,602,24816,72.95,1,0,0,1,0,0,0,0,0,0,0,1,1430498141,3791097877
HSI00000461,Health First,Rockledge,FL,1,1,17773944,0328,419,141,258,108,70,61,4,4,0,0,2,1,1,904,51481,0,0,0,0,0,0,1,1,1,1,0,1,1,1164550242,6095089435
HSI00000464,HealthPartners,Minneapolis,MN,1,1,18961175,0342,2197,970,535,501,183,153,10,10,2,1,1,1,2,1002,60248,194.19,0,1,0,1,0,0,1,0,0,0,0,1,2381855768,6917937678
HSI00000466,Healthcare Authority for Baptist Health,Montgomery,AL,1,1,17773622,0150,256,95,108,8,41,36,3,3,0,0,0,0,1,611,27635,50.94,0,0,0,1,1,0,0,0,0,0,0,3,818465512,2681123251
HSI00000467,Huntsville Hospital Health System,Huntsville,AL,1,1,18198421,0117,526,191,368,40,113,99,8,8,0,0,0,0,1,1571,71231,62.44,0,0,0,1,0,0,0,1,1,0,0,3,1705088276,7807236967
HSI00000471,Hendrick Health System,Abilene,TX,1,1,17773640,9997,206,66,87,39,47,40,3,3,1,1,1,1,1,656,25281,0,0,0,0,0,0,0,0,0,0,0,0,2,824367356,6405992047
HSI00000472,Hendricks Regional Health,Danville,IN,1,0,18388046,,189,83,84,39,52,49,2,1,0,0,0,0,1,130,5854,0,0,0,0,0,0,0,0,0,0,0,0,3,447412447,1321403354
HSI00000473,Hennepin Healthcare,Minneapolis,MN,1,0,17773314,,573,219,195,103,30,29,1,1,0,0,2,2,1,347,14398,290.91,0,1,1,2,1,0,0,1,,1,,3,1289237000,3399855000
HSI00000474,Henry Community Health,New Castle,IN,1,0,18291601,,57,19,44,13,15,14,1,1,0,0,0,0,1,48,2180,0,0,0,0,0,0,1,1,0,,,,3,137750265,426026169
HSI00000475,Henry Ford Health,Detroit,MI,1,1,18956748,9505,3796,854,756,410,248,224,6,5,0,0,6,2,1,1787,90615,925.98,0,1,1,2,1,0,0,1,1,1,0,1,4425533332,12800770565
HSI00000476,Heritage Valley Health System,Beaver,PA,1,1,17844118,0309,227,103,57,73,80,74,3,3,0,0,0,0,1,365,14055,23.93,0,0,0,1,0,1,1,,,,,1,377419696,1174847914
HSI00000478,Heywood Healthcare,Gardner,MA,1,1,18409140,1024,85,25,56,30,27,23,2,2,0,0,0,0,1,135,3695,0,0,0,0,0,0,0,0,0,,,,1,181441914,457622802
HSI00000484,Hoag Memorial Hospital Presbyterian,Newport Beach,CA,1,0,17773315,,597,179,129,57,91,85,2,1,0,0,0,0,1,512,34327,0,0,0,0,0,0,0,0,0,0,0,0,1,1565207812,5488172076
HSI00000488,Holy Redeemer Health System,Huntingdon Valley,PA,1,0,18311803,,164,64,37,6,24,23,1,1,3,3,8,4,1,213,9075,2.42,0,0,0,1,1,0,0,,,,,2,216163220,849131413
HSI00000490,Holzer Health System,Gallipolis,OH,1,1,17773936,1014,153,73,93,11,17,15,2,2,1,1,1,1,1,172,3742,9.97,0,0,0,1,0,0,1,0,0,0,0,1,229777396,692393193
HSI00000491,HonorHealth,Scottsdale,AZ,1,1,17773968,0963,753,305,302,145,142,127,7,6,0,0,2,1,1,1406,67262,80.85,0,1,0,1,0,1,1,0,0,0,0,1,2453595811,15713080721
HSI00000492,HCA Healthcare,Nashville,TN,1,1,17773631,0048,15120,4418,5648,2949,2015,1816,185,167,9,9,24,16,3,37395,1946001,4496.72,0,1,0,1,1,1,1,0,0,0,0,5,52235419071,464043912642
HSI00000496,Hospital Sisters Health System,Springfield,IL,1,1,17773316,5355,761,215,391,115,135,116,17,17,1,1,4,3,2,1705,66131,104.28,0,0,0,1,1,0,1,1,1,0,1,2,2783567046,9378833651
HSI00000497,Houston Healthcare,Warner Robins,GA,1,1,18162320,0642,85,44,24,16,14,13,2,2,0,0,0,0,1,293,14125,18.5,0,0,0,1,0,1,1,0,0,0,0,3,308405667,1146564613
HSI00000502,Hunterdon Healthcare System,Flemington,NJ,1,0,18288502,,314,129,78,45,93,77,1,1,0,0,1,1,1,184,7492,19.62,0,0,0,1,0,0,0,0,0,0,0,1,392337764,1323772350
HSI00000505,Hurley Medical Center,Flint,MI,1,0,18291694,,184,83,53,79,26,20,1,1,0,0,0,0,1,369,13461,120.54,0,1,0,2,1,0,0,0,0,0,0,3,391606895,1488507986
HSI00000507,Integris Health,Oklahoma City,OK,1,1,17774097,0305,673,207,242,131,149,141,10,10,0,0,2,2,1,1169,49338,71.01,0,0,0,1,1,0,1,1,1,0,0,1,1749630034,9967561799
HSI00000510,Indiana University Health,Indianapolis,IN,1,1,17774087,0231,3440,992,1156,342,382,355,14,13,0,0,3,1,1,2429,104879,812.52,0,1,0,2,1,0,1,1,1,0,0,1,6549413758,23401334113
HSI00000511,Infirmary Health System,Mobile,AL,1,1,17773947,2025,359,151,104,8,57,50,5,4,1,1,0,0,1,769,37838,33.17,0,0,0,1,0,0,0,1,1,0,0,1,859984192,2551267143
HSI00000513,Inova Health System,Falls Church,VA,1,1,17773948,1305,2093,646,779,347,247,211,5,5,1,1,2,1,1,1682,90267,216.68,0,0,0,1,0,1,1,1,1,1,,1,4422197920,10844857154
HSI00000514,Inspira Health Network,Mullica Hill,NJ,1,1,17846930,0151,302,94,105,27,77,66,4,4,0,0,0,0,1,679,30698,250.84,0,1,1,2,0,1,1,1,1,0,1,1,1054852552,4949703499
HSI00000515,Interfaith Medical Center,Brooklyn,NY,1,0,18162332,,80,34,13,7,5,4,1,1,0,0,0,0,1,,,,,,,,,,,0,0,0,0,1,,
HSI00000516,Intermountain Healthcare,Salt Lake City,UT,1,1,17774098,1815,3903,1455,1237,821,587,542,33,31,1,1,8,4,3,3938,201395,412.06,1,1,0,1,0,0,0,1,1,1,1,1,9587507849,29290690382
HSI00000518,Iredell Health System,Statesville,NC,1,0,18401031,,50,20,27,24,28,26,1,1,1,1,1,1,1,155,6759,0,0,0,0,0,0,0,0,0,0,0,0,1,244411504,957411862
HSI00000523,Jackson Health System,Miami,FL,1,0,17773656,,1291,326,572,49,28,22,3,1,2,2,0,0,1,1608,62133,689.2,0,1,0,2,1,1,1,0,0,0,0,3,1551114782,6965606323
HSI00000526,Jefferson Healthcare,Port Townsend,WA,1,0,18389819,,61,33,25,20,11,10,2,1,0,0,1,1,1,25,1339,0,0,0,0,0,0,0,0,0,,,,3,147963469,320025849
HSI00000527,Jefferson Hospital Association,Pine Bluff,AR,1,0,17773799,,62,19,26,5,26,23,1,1,0,0,1,0,1,245,6591,25.8,0,0,0,1,1,0,0,0,0,0,0,1,201717365,844680979
HSI00000530,John Muir Health,Walnut Creek,CA,1,1,17837004,0324,1117,398,76,52,83,77,3,2,0,0,2,1,1,610,33140,23.66,0,0,0,1,0,0,0,0,0,0,0,1,1684334426,9564861533
HSI00000531,Johns Hopkins Health System,Baltimore,MD,1,1,17773320,1015,4638,1142,970,493,289,277,6,6,1,1,2,2,3,2402,97053,1161.47,1,1,1,2,0,0,0,1,1,1,0,1,4846432244,7774532369
HSI00000536,Kaiser Permanente,Oakland,CA,1,1,17773641,2105,25893,11709,2185,1888,689,651,41,40,10,10,20,11,3,9337,454046,1069.17,0,1,0,1,0,0,0,1,1,1,1,1,22677038585,79796007900
HSI00000537,Kaleida Health,Buffalo,NY,1,0,17773800,,387,99,225,159,70,60,4,4,4,4,5,0,2,1176,52655,417.45,0,1,0,2,0,0,0,0,0,0,0,1,1710307175,5119001274
HSI00000538,Logan Health,Kalispell,MT,1,0,18204496,,338,89,120,90,66,58,6,5,3,3,1,1,1,301,9416,2.63,0,0,0,1,0,0,1,0,0,0,0,1,728337093,1528813706
HSI00000539,Katherine Shaw Bethea Hospital,Dixon,IL,1,0,18197553,,50,21,26,3,11,9,1,1,0,0,0,0,1,80,2707,8.37,0,0,0,1,0,0,0,0,0,0,0,1,143509031,503156453
HSI00000540,Kaweah Delta Health Care District,Visalia,CA,1,0,18361428,,261,59,58,42,27,21,1,1,2,1,3,1,1,430,20483,119.03,0,1,0,2,1,0,0,1,1,0,0,3,653677599,2572096950
HSI00000546,Kettering Health,Kettering,OH,1,1,17773950,0258,855,337,305,207,214,197,8,7,0,0,0,0,1,1217,63312,226.69,0,1,0,1,0,0,1,0,0,0,0,2,2253350100,11516650785
HSI00000553,Kootenai Health,Coeur D Alene,ID,1,0,18283457,,305,111,110,57,47,43,2,2,0,0,0,0,1,349,17444,21.27,0,0,0,1,0,0,0,0,0,0,0,1,739144018,1950760366
HSI00000554,Kuakini Health System,Honolulu,HI,1,0,18388124,,54,30,4,0,2,2,1,1,1,1,0,0,1,170,3062,15.27,0,0,0,1,0,0,0,0,0,0,0,1,144679855,366124572
HSI00000555,LCMC Health System,New Orleans,LA,1,1,18294751,0932,1120,342,346,101,143,131,11,10,2,2,0,0,1,1895,70448,840.66,1,1,1,2,1,0,0,1,1,0,1,1,3525124939,16251374039
HSI00000559,LSU Healthcare Services Division,Baton Rouge,LA,1,0,17773321,,1111,302,54,10,46,42,1,1,0,0,0,0,1,24,241,2,0,0,0,1,0,1,1,,,,,3,28742771,59291910
HSI00000564,Lake Charles Memorial Health System,Lake Charles,LA,1,0,18361663,,200,93,91,11,39,38,2,1,0,0,1,1,1,227,8906,20.79,0,0,0,1,0,0,0,0,,,,1,366735864,1450000616
HSI00000567,Lake Region Healthcare,Fergus Falls,MN,1,0,18288228,,70,30,34,24,13,10,2,2,0,0,0,0,1,90,1521,0,0,0,0,0,0,0,0,0,0,0,0,1,156737840,389984082
HSI00000568,Lake Regional Health System,Osage Beach,MO,1,0,18283256,,82,31,41,19,32,28,1,1,1,1,0,0,1,105,5150,0,0,0,0,0,0,0,0,0,0,0,0,1,226828585,775603358
HSI00000569,Lakeland Regional Health,Lakeland,FL,1,0,17773642,,281,82,184,56,16,15,1,1,0,0,0,0,1,764,44040,17.09,0,0,0,1,0,1,1,0,0,0,0,1,1033363360,5231249447
HSI00000575,Lee Health,Fort Myers,FL,1,1,17773483,0369,583,217,342,147,112,95,3,3,2,2,1,0,1,1659,85379,38.47,0,0,0,1,1,1,0,0,0,0,0,3,2413090345,12257501569
HSI00000576,Legacy Health,Portland,OR,1,1,17773484,2755,1545,452,255,210,137,122,7,7,2,2,0,0,2,1005,85611,106.92,0,1,0,1,1,1,1,1,1,1,1,1,2495594168,6781844325
HSI00000577,Lehigh Valley Health Network,Allentown,PA,1,1,17847553,0370,1706,604,547,598,392,352,10,9,1,0,2,1,1,1679,73634,320.59,0,1,0,1,0,0,1,1,1,0,1,1,3399868006,17873191258
HSI00000579,Lexington Medical Center,West Columbia,SC,1,0,18156243,,492,152,144,53,82,77,1,1,1,1,1,0,1,541,37375,6.52,0,0,0,1,0,0,0,0,0,0,0,1,1513233364,5877131716
